pattern,brand,chain_category,states,store_types,match
# Curated brand crosswalk for SNAP retailer names.
# pattern       normalized store name; matched as equality or longest prefix,
#               so DOLLAR GENERAL absorbs DOLLAR GENERAL STORE / MARKET.
# chain_category dollar|drug|mass|club|grocery|convenience|variety|fuel_branded|generic
#               fuel_branded and generic resolve to ownership = unknown; see
#               src/classify.py for why.
#
# --- dollar stores (broken out as their own format) --------------------------
DOLLAR GENERAL,Dollar General,dollar,,,
DOLLARTREE,Dollar Tree,dollar,,,
DOLLAR TREE,Dollar Tree,dollar,,,
FAMILY DOLLAR,Family Dollar,dollar,,,
99 CENTS ONLY,99 Cents Only,dollar,,,
DOLLAR EXPRESS,Dollar Express,dollar,,,prefix
DOLLAR ZONE,Dollar Zone,dollar,,,prefix
# --- drug stores -------------------------------------------------------------
WALGREENS,Walgreens,drug,,,
WALGREEN,Walgreens,drug,,,
CVS,CVS,drug,,,
RITE AID,Rite Aid,drug,,,
DUANE READE,Duane Reade,drug,,,
KINNEY DRUGS,Kinney Drugs,drug,,,
DISCOUNT DRUG MART,Discount Drug Mart,drug,,,
# --- mass merchants ----------------------------------------------------------
WALMART,Walmart,mass,,,
WAL MART,Walmart,mass,,,
TARGET,Target,mass,,,
MEIJER,Meijer,mass,,,
FRED MEYER,Fred Meyer,mass,,,
# --- warehouse clubs ---------------------------------------------------------
COSTCO,Costco,club,,,
SAMS CLUB,Sam's Club,club,,,
BJS WHOLESALE CLUB,BJ's Wholesale Club,club,,,
B JS WHOLESALE CLUB,BJ's Wholesale Club,club,,,
# --- variety / closeout ------------------------------------------------------
BIG LOTS,Big Lots,variety,,,
OCEAN STATE JOB LOT,Ocean State Job Lot,variety,,,
BI MART,Bi-Mart,variety,,,
ROSES,Roses,variety,,,prefix
# --- supermarkets and grocery banners ---------------------------------------
KROGER,Kroger,grocery,,,
PUBLIX,Publix,grocery,,,
ALBERTSONS,Albertsons,grocery,,,
SAFEWAY,Safeway,grocery,,,
FOOD LION,Food Lion,grocery,,,
ALDI,Aldi,grocery,,,
LIDL,Lidl,grocery,,,
TRADER JOES,Trader Joe's,grocery,,,
WHOLE FOODS,Whole Foods Market,grocery,,,prefix
WEGMANS,Wegmans,grocery,,,
HEB,H-E-B,grocery,,,
H E B,H-E-B,grocery,,,
WINN DIXIE,Winn-Dixie,grocery,,,
HARRIS TEETER,Harris Teeter,grocery,,,
GIANT EAGLE,Giant Eagle,grocery,,,
GIANT FOOD,Giant Food,grocery,,,prefix
GIANT,Giant,grocery,PA|MD|VA|WV|DC,Supermarket|Super Store|Large Grocery Store,prefix
STOP AND SHOP,Stop & Shop,grocery,,,prefix
HANNAFORD,Hannaford,grocery,,,
SHAWS,Shaw's,grocery,,,
ACME,Acme Markets,grocery,,,
JEWEL,Jewel-Osco,grocery,,,
VONS,Vons,grocery,,,
RALPHS,Ralphs,grocery,,,
FRYS,Fry's Food Stores,grocery,,,
KING SOOPERS,King Soopers,grocery,,,
SMITHS FOOD,Smith's Food and Drug,grocery,,,
DILLON,Dillons,grocery,,,
QFC,QFC,grocery,,,
PICK N SAVE,Pick 'n Save,grocery,,,
MARIANOS,Mariano's,grocery,,,
HY VEE,Hy-Vee,grocery,,,
HYVEE,Hy-Vee,grocery,,,
SCHNUCKS,Schnucks,grocery,,,
WINCO FOODS,WinCo Foods,grocery,,,
